course_name,year,nr_students
Molecular endocrinology,2016-2017,5
Introduction to practical aspects of animal experimentation and animal facilities (Summer) (2017),2011-2012,5
Relativity and cosmology II,2017-2018,5
Relativity and cosmology II,2009-2010,5
Relativistic quantum fields II,2013-2014,5
Introduction à la physique des astroparticules,2017-2018,5
Relativistic quantum fields I,2015-2016,5
Relativistic quantum fields I,2012-2013,5
Molecular quantum dynamics ,2019-2020,5
Morphological and chemical analyses of materials,2018-2019,5
Introduction to quality management and management systems,2013-2014,5
Photochemistry I,2007-2008,5
Instrumentation et simulation des STEPs,2008-2009,5
Physique du solide III,2011-2012,5
Supply chain management,2008-2009,5
Systèmes et entraînements électriques,2010-2011,5
Equations aux dérivées partielles linéaires,2010-2011,5
Presentation skills,2013-2014,5
Planification intégrée des infrastructures d'énergie,2005-2006,5
Physics of nuclear reactor II,2019-2020,5
Physical organic chemistry,2007-2008,5
Student seminar: security protocols and applications,2015-2016,5
Frontiers in nanosciences,2017-2018,5
Supply chain management,2010-2011,5
Fusion and industrial plasma technologies,2012-2013,5
"Physics of atoms, nuclei and elementary particles",2012-2013,5
Physique moléculaire,2010-2011,5
Photochemistry II,2018-2019,5
Photonique appliquée II,2009-2010,5
Food biotechnology,2019-2020,5
Photonic systems and technology,2019-2020,5
Physics of photonic semiconductor devices,2019-2020,5
Polymer chemistry and macromolecular engineering,2007-2008,5
Systems and architectures for signal processing,2019-2020,5
Photonic systems and technology,2018-2019,5
Supraconductivité II,2006-2007,5
Symmetry and Conservation in the Cell,2016-2017,5
Physique du solide III,2009-2010,5
Polymer morphological characterization techniques,2019-2020,5
Fundamentals of radiation damage and effects,2008-2009,5
Physique des nouveaux matériaux,2017-2018,5
Fracture mechanics,2006-2007,5
Photomedicine,2016-2017,5
Student seminar: security protocols and applications,2016-2017,5
Photochemistry II,2017-2018,5
Power management,2010-2011,5
Physics of materials,2015-2016,5
Filtres électriques,2012-2013,5
Supramolecular chemistry,2009-2010,5
Genomics and bioinformatics,2011-2012,5
Power management,2008-2009,5
Genetherapy in neurological diseases,2012-2013,5
Functional materials in communication systems,2010-2011,5
Gaussian processes,2019-2020,5
Equations aux dérivées partielles non linéaires de l'environnement naturel,2008-2009,5
Planification intégrée des infrastructures d'énergie,2007-2008,5
Planification intégrée des infrastructures d'énergie,2010-2011,5
Executive lecture series,2010-2011,5
Presentation skills,2015-2016,5
Atoms and radiation,2009-2010,4
Introduction to brain imaging ,2009-2010,4
Solidification,2007-2008,4
Quantum Field Theory Methods in Gravity and Cosmology ,2019-2020,4
Systèmes et entraînements électriques,2008-2009,4
Introduction to Frustrated Magnetism,2009-2010,4
Advanced analysis I,2016-2017,4
New tools and research strategies in personalized medicine,2012-2013,4
Quantitative systems modeling techniques,2011-2012,4
Astrophysics IV : observational cosmology,2015-2016,4
Construction en bois pour ingénieurs civils II,2005-2006,4
Advanced analysis II,2009-2010,4
Semiconductor physics and fundamentals of electronic devices,2015-2016,4
Semiconductor physics and fundamentals of electronic devices,2016-2017,4
Continuous-time Stochastic Processes,2010-2011,4
Spacecraft avionics architectures,2019-2020,4
Quantum optics and quantum information,2017-2018,4
Solid-state imaging : Architectures and techniques,2007-2008,4
Role of diversity in wireless networks,2006-2007,4
Semiconductor electronic and optoelectronic devices II,2009-2010,4
Advanced analysis I,2010-2011,4
Atoms and radiation,2010-2011,4
"Physics of atoms, nuclei and elementary particles",2014-2015,4
Topics in neurosciences and philosophy (2010),2008-2009,4
Quantum physics III,2014-2015,4
Advanced analysis I,2009-2010,4
Semiconductor electronic and optoelectronic devices II,2011-2012,4
Théorie et critique du projet MA1 (Huang),2016-2017,4
Topics in geometry,2014-2015,4
Fundamentals of biosensors and electronic biochips,2014-2015,4
Atoms and radiation,2016-2017,4
Atoms and radiation,2018-2019,4
Introduction to algebraic geometry,2018-2019,4
Introduction to algebraic geometry,2015-2016,4
Chemical engineering of heterogenous reaction,2008-2009,4
Quantum Information Theory and Computation,2007-2008,4
Quantum Information Theory and Computation,2005-2006,4
Astrophysics IV : observational cosmology,2013-2014,4
Catalytic asymmetric reactions in organic chemistry,2013-2014,4
Astrophysics IV : observational cosmology,2012-2013,4
Tissue engineering,2015-2016,4
Number theory in cryptography,2015-2016,4
Numerical analysis and computational mathematics,2010-2011,4
Powder technology,2018-2019,4
Fundamentals of superresolution optical microscopy and Scanning Probe Microscopy,2018-2019,4
Chemical biology - tools and methods,2015-2016,4
Selected topics in nuclear and particle physics,2015-2016,4
Advanced bioengineering methods laboratory,2015-2016,4
Chemical biology - tools and methods,2013-2014,4
Advanced bioengineering methods laboratory,2017-2018,4
Propagation of electromagnetic waves,2013-2014,4
Cours UNIL - Faculté des hautes études commerciales HEC I (automne),2018-2019,4
Applied molecular quantum chemistry,2008-2009,4
Topics in bioinformatics I,2007-2008,4
Applied molecular quantum chemistry,2005-2006,4
Propagation of acoustic waves,2015-2016,4
Applications en supraconductivité,2011-2012,4
Physical and computational organic chemistry,2017-2018,4
Propagation d'ondes acoustiques,2009-2010,4
Advanced biomedical imaging methods and instrumentation,2009-2010,4
Numerical methods for saddle point problems,2018-2019,4
Numerical methods in biomechanics,2012-2013,4
Tissue engineering,2013-2014,4
Projet interdisciplinaire à option A (hiver),2005-2006,4
Supramolecular chemistry,2015-2016,4
Chemical biology - tools and methods,2016-2017,4
Chemical biology of cell imaging,2019-2020,4
Nuclear magnetic resonance,2013-2014,4
Artificial Organs,2007-2008,4
Astrophysics IV : observational cosmology,2010-2011,4
Nonlinear optics,2019-2020,4
Astrophysics III : stellar and galactic dynamics,2014-2015,4
Spacecraft design and system engineering,2019-2020,4
Astrophysics III : stellar and galactic dynamics,2009-2010,4
Semiconducteurs organiques,2005-2006,4
Topics in Computational Social Science (TopiCCS),2019-2020,4
Seminar in physiology and instrumentation,2014-2015,4
Systèmes hybrides II,2006-2007,4
Introduction au droit et à l'éthique en sciences et technologies du vivant,2008-2009,4
Fundamentals of separation processes,2019-2020,4
Politiques d'aménagement urbain,2007-2008,4
Self-organized mobile networks,2005-2006,4
Fundamentals of superresolution optical microscopy and Scanning Probe Microscopy,2012-2013,4
Topics in Computational Social Science (2019),2017-2018,4
Chemical engineering & biotechnology lab & project,2008-2009,4
Fundamentals of superresolution optical microscopy and Scanning Probe Microscopy,2013-2014,4
Interfaces in biology and nanoscience,2019-2020,4
Integrative biomechanics,2010-2011,4
Télédétection,2010-2011,4
Artificial photosynthesis,2015-2016,4
Measuring literature,2017-2018,4
Réseaux euclidiens et corps de nombres,2006-2007,4
Fundamentals of biophotonics,2012-2013,4
Advanced NMR and imaging,2004-2005,4
Navigation dans les transports,2008-2009,4
Lab methods : histology,2014-2015,4
Set theory,2013-2014,4
Finite-dimensional algebras,2014-2015,4
Reservoir geo-mechanics engineering,2018-2019,4
Enquêtes et méthodes quantitatives,2008-2009,4
Lab methods : flow cytometry,2015-2016,4
Advanced Topics in Quantum Sciences and Technologies,2018-2019,4
Advanced NMR and imaging,2007-2008,4
Lab methods : biosafety,2017-2018,4
Micro and nanostructuration of materials + TP,2007-2008,4
Lab methods : bioactive compounds screening,2018-2019,4
Modern photovoltaic technologies,2014-2015,4
Lab methods : bioactive compounds screening,2016-2017,4
Systèmes de mesures informatisées,2007-2008,4
Communication au service de l'ingénieur (A),2004-2005,4
Lab methods : animal experimentation,2015-2016,4
Wave propagation along transmission lines,2019-2020,4
Biomicroscopy II,2007-2008,4
Modulation et transmission,2008-2009,4
Modèles linéaires et plans d'expériences,2010-2011,4
Modélisation des procédés d'élaboration et des structures,2004-2005,4
Lasers and applications in chemistry,2007-2008,4
Communications optiques,2011-2012,4
Physique et technologie des semiconducteurs,2004-2005,4
Metrology II,2017-2018,4
Experimental molecular sciences,2010-2011,4
Microeconomics,2013-2014,4
Ressources humaines dans les projets,2007-2008,4
Random matrices and communication systems,2005-2006,4
Set theory,2019-2020,4
Bioreactor modeling and simulation,2019-2020,4
Microwaves,2018-2019,4
Théorie du calcul stochastique,2016-2017,4
Choix des équipements hydrauliques,2004-2005,4
Riemann surfaces,2019-2020,4
Fab/sim practicals,2016-2017,4
Bioprocesses and downstream processing,2017-2018,4
"Risk, rare events and extremes",2013-2014,4
Physique moléculaire,2011-2012,4
Bioprocesses and downstream processing,2016-2017,4
Laboratory information management systems (LIMS),2013-2014,4
Biostatistics,2018-2019,4
Bioprocesses and downstream processing,2014-2015,4
Bioprocesses and downstream processing,2013-2014,4
Modeling of emerging electron devices,2008-2009,4
Polyelectrolytes and biopolymers,2006-2007,4
Biophysics II,2018-2019,4
Chimie des clusters,2004-2005,4
Advanced Topics in Human Computer Interaction: the Case of Recommender Systems,2010-2011,4
Biomécanique intégrative,2009-2010,4
Biomécanique intégrative,2008-2009,4
Systèmes de transports II,2004-2005,4
Advanced NMR and imaging,2010-2011,4
Lab methods : proteomics,2014-2015,4
Lab methods : histology,2017-2018,4
Physique du solide III,2012-2013,4
Metrology,2019-2020,4
Advanced analog and RF IC-design II,2017-2018,4
Methods in Molecular and Cellular Neuroscience,2006-2007,4
Computational methods in molecular quantum mechanics,2016-2017,4
Lattice models,2016-2017,4
Chemical processes of sustainable and renewable energy,2013-2014,4
Mécatronique,2004-2005,4
Robust and nonparametric statistics,2015-2016,4
Introduction to multiprocessor architecture (jusqu'en 2012),2010-2011,4
Computational molecular biology,2009-2010,4
Introduction to medical radiation physics,2018-2019,4
Eléments de recherche opérationnelle pour l'ingénieur,2005-2006,4
Computational motor control,2012-2013,4
Beyond-design-basis safety,2017-2018,4
Introduction to interacting particle systems,2006-2007,4
Méthodologie des plans d'expériences,2017-2018,4
Functional materials,2009-2010,4
Media security,2017-2018,4
Chemical processes of sustainable and renewable energy,2008-2009,4
Physics of materials,2019-2020,4
Biostatistics,2012-2013,4
Physics of materials,2017-2018,4
Solar photovoltaics and energy systems,2005-2006,4
Experimental molecular sciences,2007-2008,4
Chemical processes of sustainable and renewable energy,2006-2007,4
B2B - high-tech marketing,2014-2015,4
Advanced analog and RF integrated circuits design II,2016-2017,4
Random matrices and communication systems,2006-2007,4
Eléments finis en fluides incompressibles,2004-2005,4
Multivariate statistics,2018-2019,4
Multidisciplinary organization of medtechs/biotechs,2017-2018,4
Introduction à la physique des astroparticules,2009-2010,4
Advanced NMR and imaging,2006-2007,4
"Physique des surfaces, interfaces et clusters II",2006-2007,4
Relativity and cosmology II,2012-2013,4
Computational Mechanism Design,2008-2009,4
Lasers and applications in chemistry,2011-2012,4
Introduction à la théorie analytique des nombres,2010-2011,4
Introduction à la physique des astroparticules,2018-2019,4
Relativistic quantum fields II,2012-2013,4
Bioelectronics and biomedical microelectronics,2018-2019,4
Bioelectronics and biomedical microelectronics,2017-2018,4
Introduction à la physique des astroparticules,2010-2011,4
Single- and two-phase particulate flows,2014-2015,4
Advanced analog and RF integrated circuits design II,2006-2007,4
Systèmes énergétiques électriques,2004-2005,4
Molecular quantum dynamics ,2012-2013,4
Molecular quantum dynamics ,2013-2014,4
Bioanalytics and analytical sensors,2014-2015,4
Robust and nonparametric statistics,2013-2014,4
Translational research in Life Sciences,2009-2010,4
Chemistry of f elements,2018-2019,4
Physique des nouveaux matériaux,2014-2015,4
Physique des matériaux II,2007-2008,4
Physique de la diffraction et formation des images en microscopie,2006-2007,4
Multi-phase flow,2019-2020,4
Matériaux pierreux et conservation du patrimoine bâti,2013-2014,4
Systèmes mécatroniques I,2005-2006,4
Lever aérien,2008-2009,4
Advanced logic synthesis and quantum computing,2018-2019,4
Technologie chimique et biologique de l'environnement,2010-2011,4
Advanced wireless communications: algorithms and architectures,2016-2017,4
Scientific project design in integrative neurosciences,2014-2015,4
Advanced wireless communications: algorithms and architectures,2014-2015,4
Advanced wireless communications: algorithms and architectures,2012-2013,4
Part 2 : Summer School I : Lausanne,2011-2012,4
Process development II,2008-2009,4
Environmental policy,2016-2017,4
Process development II,2007-2008,4
Equations aux dérivées partielles non linéaires de l'environnement naturel,2007-2008,4
Advanced topics on privacy enhancing technologies,2018-2019,4
Structure and reactivity,2007-2008,4
Structure and reactivity,2010-2011,4
Diffraction methods in structural biology,2009-2010,4
Cellular signalling,2012-2013,4
Part 2 : Summer School I : Lausanne,2015-2016,4
UE Q : Composants et assemblages,2014-2015,4
Part 3 : Summer School II : China / India / Middle East ,2011-2012,4
Théorie et critique du projet MA2 (Zuber),2015-2016,4
Techniques de navigation,2006-2007,4
Scientific project design in drug discovery,2014-2015,4
Hot Topics in Cancer Research I (2013),2012-2013,4
Scientific project design in cell and developmental biology,2017-2018,4
Advanced topics in nuclear reactor materials,2016-2017,4
History and the digital,2019-2020,4
Process development I,2008-2009,4
Technologie chimique et biologique de l'environnement,2012-2013,4
Satellite communications  systems and networks,2018-2019,4
Scientific project design in integrative neurosciences,2016-2017,4
Advanced digital image processing and analysis,2007-2008,4
Diffraction methods in structural biology,2011-2012,4
UE K : Construction et critères environnementaux,2009-2010,4
Opto- and macroelectronic materials,2015-2016,4
Opération unitaire et technologie des procédés,2019-2020,4
Diffraction physics and image formation in microscopy,2010-2011,4
Immunology and bioengineering applications (2014),2011-2012,4
Advanced diffusional separation processes,2008-2009,4
TP de bioprocédés environnementaux,2009-2010,4
Scientific project design in translational oncology,2017-2018,4
Algorithms,2004-2005,4
Summer School Shanghai/Bangalore ,2010-2011,4
Immunology,2016-2017,4
Stochastic methods,2016-2017,4
Cementitious materials (advanced),2005-2006,4
Scientific project design in translational neurosciences,2016-2017,4
Stochastic models in communications and computer science,2006-2007,4
Scientific project design in translational neurosciences,2015-2016,4
Catalysis with transition metals complexes,2007-2008,4
Stochastic models in communications and computer science,2008-2009,4
Process development project,2008-2009,4
Management qualité,2010-2011,4
Catalyst design for synthesis,2010-2011,4
Cellular signalling,2017-2018,4
Advanced digital image processing and analysis,2006-2007,4
Management qualité,2009-2010,4
Théorie et critique du projet MA2 (Kempe & Thill),2014-2015,4
Process development I,2006-2007,4
Advanced topics in nuclear reactor materials,2012-2013,4
Advanced quantum field theory,2014-2015,4
Using Mathematica to analyse and model experimental data,2009-2010,4
Machine learning (EDOC),2011-2012,4
Using Mathematica to analyse and model experimental data,2011-2012,4
Catalytic asymmetric reactions in organic chemistry,2012-2013,4
Student seminar: security protocols and applications,2009-2010,4
Advanced materials for photovoltaics and lighting,2016-2017,4
Principles and applications of systems biology,2007-2008,4
 Numerical approximation of PDE's II,2014-2015,4
Génie chimique TP,2019-2020,4
Gestion des ressources humaines I,2004-2005,4
Gestion des ressources humaines II,2004-2005,4
Photochemistry II,2012-2013,4
Target synthesis,2007-2008,4
Target synthesis,2006-2007,4
Photochemistry II,2011-2012,4
Pharmacological chemistry,2017-2018,4
Low-rank approximation techniques,2018-2019,4
Groupe de Brauer,2004-2005,4
Catalytic asymmetric reactions in organic chemistry,2015-2016,4
Gestion foncière et droit foncier,2010-2011,4
Advanced multiprocessor architecture,2010-2011,4
Grands courants religieux en Occident,2004-2005,4
Advanced microwaves for wireless communications,2010-2011,4
Photochemistry I,2008-2009,4
Glycobiology and advanced glycochemistry,2007-2008,4
Principles of semiconductor devices,2017-2018,4
Machine learning (EDOC),2012-2013,4
TP de bioprocédés environnementaux,2018-2019,4
Géodésie,2009-2010,4
Dynamique moléculaire et simulation Monte-Carlo,2018-2019,4
TP de bioprocédés environnementaux,2019-2020,4
Particle detection,2009-2010,4
Histoire assistée par ordinateur (HAO),2013-2014,4
Management de projet SIG,2009-2010,4
Electrochemical engineering,2016-2017,4
Understanding advanced molecular simulation,2018-2019,4
Développement territorial et urbanisme II,2006-2007,4
Management de projet SIG,2008-2009,4
Advanced topics in cryptology,2011-2012,4
Unsupervised & reinforcement learning in neural networks,2009-2010,4
Advanced strategies for the synthesis of bioactive compounds,2007-2008,4
Plasma physics II,2009-2010,4
Venture challenge@EPFL (Fall),2013-2014,4
Particules élémentaires I,2011-2012,4
Hardware systems modeling II,2018-2019,4
Venture challenge@EPFL (Fall),2011-2012,4
Electrical filters,2018-2019,4
Particules élémentaires I,2015-2016,4
Eco-friendly production and process intensification,2014-2015,4
Eco-friendly production of the chemicals and process intensification,2010-2011,4
Eco-friendly production of the chemicals and process intensification,2011-2012,4
Particules élémentaires II,2014-2015,4
Scientific literature analysis in bioengineering,2017-2018,4
Scientific literature analysis in bioengineering,2016-2017,4
Optique quantique,2009-2010,4
Organizational behavior,2015-2016,4
In silico neuroscience,2017-2018,4
Analyse de produits et systèmes,2013-2014,4
Equations différentielles ordinaires,2005-2006,4
Data science for business,2016-2017,4
Electronic properties of solids and superconductivity (2017),2012-2013,4
Analyse fonctionnelle II,2018-2019,4
De- and re-regulation of Network Industries,2008-2009,4
De- and re-regulation of Network Industries,2009-2010,4
3D Electron Microscopy and FIB-Nanotomography,2012-2013,4
Optical methods in chemistry,2019-2020,4
Advanced courses in immunology and microbiology,2009-2010,4
Decommissioning of nuclear power plants,2017-2018,4
Technology strategy and entrepreneurship in corporations,2009-2010,4
TNT: Automorphic forms and L-functions,2018-2019,4
Optics II,2018-2019,4
Statistical physics of biomacromolecules,2014-2015,4
Statistical physics of biomacromolecules,2017-2018,4
Linear algebraic groups,2018-2019,4
Optique intégrée,2011-2012,4
Innovation & management in the energy industry,2010-2011,4
Advanced cryptography,2012-2013,4
Materials science,2011-2012,4
Optics laboratories II,2019-2020,4
Statistical theories and electronic of solids,2008-2009,4
Optimal control,2005-2006,4
Data analysis and model classification,2010-2011,4
Data Analysis & Empirical Methods,2011-2012,4
Environment chemical and biological technology,2015-2016,4
Analysis on groups,2015-2016,4
Theory and Methods for Reinforcement Learning,2019-2020,4
Supramolecular chemistry,2010-2011,4
Theory and Methods for Linear Inverse Problems,2012-2013,4
Integrated circuits technology,2007-2008,4
Analytical electron microscopy and laboratory work,2007-2008,4
Supramolecular chemistry,2006-2007,4
Electronic spectroscopy,2013-2014,4
Advanced biomedical imaging methods and instrumentation,2015-2016,4
Chemical biology ,2010-2011,4
Project in translational oncology,2012-2013,4
Cristallographie et méthodes de diffraction,2007-2008,4
Analysis and modelling of locomotion,2013-2014,4
Théorie et critique du projet MA1 (Weinand),2016-2017,4
Lifecycle economic and environmental performance of product systems,2011-2012,4
Cultural data sculpting,2019-2020,4
Electronic spectroscopy,2010-2011,4
Selected topics in computer vision,2011-2012,4
Plasma physics III,2015-2016,4
The chemistry and processing of hydrocarbons,2008-2009,4
Project in communication for SV,2011-2012,4
Equilibrium-stage separation processes,2008-2009,4
Selected Chapters in Medical Technology,2011-2012,4
Fusion and industrial plasma technologies,2018-2019,4
Advanced NMR and imaging,2015-2016,4
Plasma physics II,2016-2017,4
Cartographie des controverses socio-techniques,2008-2009,4
Security and Cooperation in Wireless Networks,2008-2009,4
Statistics for genomic data analysis,2016-2017,4
Advanced cryptography,2015-2016,4
Design of experiments (c) - Spring semester,2019-2020,4
Catalysis for emission control and energy processes,2017-2018,4
Design of market-based solutions to allocation problems,2009-2010,4
Information technology & digital strategy,2016-2017,4
Dielectric and optical properties of materials,2004-2005,4
Analog circuits for biochip,2017-2018,4
Localisation par satellites,2010-2011,4
Photomedicine (SV),2008-2009,4
Analog circuits for biochip,2015-2016,4
Environmental Engineering Seminar series (summer),2006-2007,4
Statistique multivariée,2011-2012,4
Information Systems,2012-2013,4
Mass spectrometry,2006-2007,4
Infection biology,2010-2011,4
Electron microscopy: advanced methods,2008-2009,4
Option studio Urban planning,2010-2011,4
Infection biology,2017-2018,4
Ville et transport II,2005-2006,4
Advanced design automation,2005-2006,4
Optique intégrée,2007-2008,4
Optimization and simulation,2012-2013,4
Optimisation expérimentale des matériaux,2004-2005,4
Advanced diffusional separation processes,2006-2007,4
Supply chain management,2017-2018,4
Optimization and simulation,2016-2017,4
Securitization & the financial crisis,2012-2013,4
Indoor air quality and ventilation,2019-2020,4
Information: strategy & economics,2013-2014,4
Stem cell biology and technology,2006-2007,4
Genetherapy in neurological diseases,2011-2012,4
UE K : Architecture et durabilité : études de performances,2012-2013,4
Calcul stochastique,2011-2012,3
Biostatistics,2014-2015,3
Calcul stochastique,2010-2011,3
Advanced NMR and imaging,2014-2015,3
Role of diversity in wireless networks,2005-2006,3
Plasma physics III,2018-2019,3
Microeconomics,2018-2019,3
Santé au travail,2010-2011,3
Martingales in financial mathematics,2012-2013,3
Calcul scientifique,2004-2005,3
Physique moléculaire,2013-2014,3
Catalysis for energy production,2008-2009,3
Martingales in financial mathematics,2013-2014,3
Media security,2018-2019,3
Advanced NMR and imaging,2012-2013,3
Topics in number theory,2011-2012,3
Calculus of variations,2019-2020,3
Business information systems,2013-2014,3
Cancer biology I,2015-2016,3
Politique technologique et transition énergétique,2014-2015,3
Topics in distributed systems,2005-2006,3
Théorie et critique du projet MA3 (Weinand),2007-2008,3
Théorie et critique du projet MA3 (Lamunière & Jaccaud),2007-2008,3
Cartographie des controverses socio-techniques,2009-2010,3
Working seminar in Topology (2010),2007-2008,3
Brain-computer interaction (école doctorale),2005-2006,3
Methods in Cognitive and Behavioural Neuroscience,2006-2007,3
Management environnemental,2004-2005,3
Robust and nonparametric statistics,2011-2012,3
Mechanical wave propagation,2008-2009,3
Plasma physics II,2012-2013,3
Topics in Molecular and Cellular Neuroscience,2006-2007,3
Topics in Language-based Software Security,2018-2019,3
Materials science,2013-2014,3
Mathematical modelling of DNA,2019-2020,3
Cancer biology I,2012-2013,3
Topological matter and its exploration with quantum gases,2019-2020,3
Mathematical physiology,2017-2018,3
Mathematical physiology,2018-2019,3
Safety of nuclear power plants,2018-2019,3
Cancer biology I,2016-2017,3
Catalytic asymmetric reactions in organic chemistry,2008-2009,3
Topics in Computational Social Science (2019),2016-2017,3
Catalytic asymmetric reactions in organic chemistry,2009-2010,3
Plasma physics II,2014-2015,3
Measures of Information,2010-2011,3
Microeconomics,2011-2012,3
Magnetic and semiconducting nanostructures,2019-2020,3
Microeconomics,2012-2013,3
Cancer biology II,2017-2018,3
Photochemistry II,2004-2005,3
Microscopie électronique analytique + TP,2005-2006,3
Practical business law,2013-2014,3
Analyse fonctionnelle II,2011-2012,3
Advanced cryptography,2008-2009,3
Optics III,2013-2014,3
Optics laboratories,2015-2016,3
Advanced cryptography,2011-2012,3
Analyse de produits et systèmes,2016-2017,3
Analyse de produits et systèmes,2011-2012,3
Analyse de produits et systèmes,2010-2011,3
Photomedicine (SV),2009-2010,3
Bioreactor modeling and simulation,2015-2016,3
Optique III,2010-2011,3
Practical business law,2015-2016,3
Optique III,2012-2013,3
Optique III,2015-2016,3
Optique III,2018-2019,3
Optique III,2019-2020,3
UE J : Territoire et paysage (printemps),2009-2010,3
An introduction to coding theory,2010-2011,3
Analyse fonctionnelle II,2012-2013,3
Analyse fonctionnelle II,2013-2014,3
Analyse fonctionnelle II,2015-2016,3
Physical and computational organic chemistry,2011-2012,3
UE D : Territoire et société,2014-2015,3
UE D : Territoire et société,2015-2016,3
Operations: economics & strategy,2015-2016,3
Power management,2007-2008,3
Projet Génie mécanique IV hiver (uniquement pour les masters à 120 crédits),2005-2006,3
Analysis on groups,2019-2020,3
Analysis on groups,2016-2017,3
Analysis on groups,2013-2014,3
Analysis on groups,2011-2012,3
Analysis of ancient materials and their degradation,2017-2018,3
Analysis of ancient materials and their degradation,2015-2016,3
Project in drug discovery,2012-2013,3
Optical MEMS and micro-optics,2019-2020,3
Advanced biotechnology II,2008-2009,3
UE G : Digital Design and Production (Spring),2012-2013,3
Optical communications,2013-2014,3
Physical and computational organic chemistry,2012-2013,3
Organic semiconductors,2019-2020,3
Photomedicine,2019-2020,3
Packing and covering,2013-2014,3
Part 3 : Summer School II : China / India / Middle East ,2014-2015,3
Part 3 : Summer School II : China / India / Middle East ,2015-2016,3
Process development I,2007-2008,3
Particle detection,2012-2013,3
Venture challenge@EPFL (Spring),2012-2013,3
Advanced stem cell biology (2013),2009-2010,3
Particle-based methods,2010-2011,3
Particules élémentaires I,2014-2015,3
Advanced scientific computing,2010-2011,3
Particules élémentaires II,2015-2016,3
Probability theory,2019-2020,3
Venture challenge@EPFL (Fall),2006-2007,3
Probability theory,2016-2017,3
Personal interaction studio,2016-2017,3
Advanced materials for photovoltaics and lighting,2015-2016,3
Advanced materials for photovoltaics and lighting applications,2010-2011,3
Advanced physical organic chemistry,2009-2010,3
Photochemistry II,2009-2010,3
Advanced topics in nuclear reactor materials,2017-2018,3
UE T : Techniques tridimensionnelles,2015-2016,3
Algebraic curves and cryptography,2018-2019,3
Part 3 : Summer School II : China / India / Middle East ,2012-2013,3
Parabolic and hyperbolic PDE's,2016-2017,3
Parabolic and hyperbolic PDE's,2018-2019,3
UE M : Espace et lumière: le projet d'éclairage,2016-2017,3
UE N : Art et architecture II,2013-2014,3
Parallel and Distributed Query Processing,2012-2013,3
Process development project,2007-2008,3
Advances in data management systems,2007-2008,3
Photomedicine,2014-2015,3
Advanced wireless receivers,2019-2020,3
Part 1 : Introduction to Area and Cultural Studies,2011-2012,3
Part 1 : Introduction to Area and Cultural Studies,2012-2013,3
Part 1 : Introduction to Area and Cultural Studies,2014-2015,3
Advanced transport phenomena,2008-2009,3
Process development II,2006-2007,3
Part 2 : Summer School I : Lausanne,2014-2015,3
UE R : Introduction au BIM (Building Information Modeling),2014-2015,3
UE R : Introduction au BIM (Building Information Modeling),2015-2016,3
Advanced biomedical imaging methods and instrumentation,2010-2011,3
Projet interdisciplinaire à option B (été),2005-2006,3
Advanced biomedical imaging methods and instrumentation,2007-2008,3
Reliability of MEMS,2014-2015,3
Biomedical optics,2012-2013,3
Molecular endocrinology,2015-2016,3
Relativity and cosmology II,2015-2016,3
Relativity and cosmology II,2014-2015,3
Relativistic quantum fields II,2015-2016,3
Relativistic quantum fields II,2009-2010,3
Biochemical engineering,2018-2019,3
Bioanalytics and analytical sensors,2010-2011,3
Molecular quantum dynamics ,2017-2018,3
Molecular quantum dynamics ,2018-2019,3
Real-time networks,2008-2009,3
Transport phenomena I,2015-2016,3
Bio-inspired processing of cognitive signals ,2009-2010,3
Méthodologie des plans d'expériences,2019-2020,3
Nanomaterials for chemical engineering application,2017-2018,3
Nanomaterials for chemical engineering application,2019-2020,3
Physics of materials,2018-2019,3
Advanced analog and RF IC-design I,2018-2019,3
Physique du solide III,2013-2014,3
Random matrices and communication systems,2011-2012,3
Modélisation des procédés d'élaboration et des structures,2008-2009,3
Bioprocesses and downstream processing,2019-2020,3
Riemannian geometry,2012-2013,3
Riemann surfaces,2017-2018,3
Rhéologie des matériaux,2010-2011,3
Rhéologie des matériaux,2009-2010,3
Bioprocesses and downstream processing,2015-2016,3
Bioprocesses and downstream processing,2011-2012,3
Biophysics II,2015-2016,3
Advanced Topics in Data Sciences,2015-2016,3
Modelling the immune system,2007-2008,3
Models and methods for large-scale random networks,2004-2005,3
Polyelectrolytes and biopolymers,2008-2009,3
Biomécanique du système cardiovasculaire,2004-2005,3
Models and methods for large-scale random networks,2006-2007,3
Modern chemical dynamics,2010-2011,3
Biomolecular structure and mechanics,2009-2010,3
Biomicroscopy II,2015-2016,3
Bayesian computation,2019-2020,3
Audio and acoustic signal processing,2019-2020,3
Propagation of acoustic waves,2016-2017,3
Advanced analysis II,2011-2012,3
Nuclear computations lab,2017-2018,3
Télécommunications II,2004-2005,3
Nuclear energy systems,2018-2019,3
Quality assurance and quality management systems,2016-2017,3
Artificial photosynthesis,2016-2017,3
Artificial photosynthesis,2012-2013,3
Artificial photosynthesis,2011-2012,3
Artificial photosynthesis,2010-2011,3
Architectures de systèmes de traitement de l'information,2008-2009,3
Nuclear materials,2018-2019,3
Physical organic chemistry,2006-2007,3
Advanced bioengineering methods laboratory,2013-2014,3
Protein mass spectrometry and proteomics,2019-2020,3
Protein mass spectrometry and proteomics,2017-2018,3
Numerical analysis and computational mathematics,2014-2015,3
Applied molecular quantum chemistry,2013-2014,3
Applied molecular quantum chemistry,2009-2010,3
Physical organic chemistry,2008-2009,3
